OBJECTID,ANO,CDMUN,NMMUN,NMEST,NMREG,VZHURM3S,VZHRUM3S,VZINDM3S,VZMINM3S,VZTERM3S,VZANIM3S,VZIRRM3S,VZTOTM3S,SHAPE_Length,SHAPE_Area
248,2020,1505908,Porto de Moz,PA,REGIÃO NORTE,0.04707609,0.0274947,1.529e-05,0,0,0.05866649,0.00188128,0.13513384,5.51908767157475,1.4164769929948
249,2020,1506005,Prainha,PA,REGIÃO NORTE,0.02029048,0.02123242,1.046e-05,0,0,0.09518551,0,0.13671887,7.33465831776252,1.2021504757174
250,2020,1506104,Primavera,PA,REGIÃO NORTE,0.01779331,0.00474595,0.00563867,0.00119458,0,0.00214889,0.00090861,0.03243001,0.800351603432427,0.0210117329461207
251,2020,1506112,Quatipuru,PA,REGIÃO NORTE,0.01685739,0.00842855,4.185e-05,0,0,0.00111378,0.00247924,0.02892082,1.23177634895743,0.0264965559199331
252,2020,1506138,Redenção,PA,REGIÃO NORTE,0.13552628,0.00720954,0.0290414,0.00019891,0,0.17194425,0.03885241,0.38277279,3.32254797945068,0.313674522744339
253,2020,1506161,Rio Maria,PA,REGIÃO NORTE,0.03287168,0.0043031,0.01570714,0.00058015,0,0.25846142,0,0.31192349,3.63130031598362,0.336976014630048
254,2020,1506187,Rondon do Pará,PA,REGIÃO NORTE,0.11752262,0.01597051,0.00634993,1.065e-05,0,0.21027636,0.09624983,0.4463799,4.05903088169883,0.672000412574265
255,2020,1506195,Rurópolis,PA,REGIÃO NORTE,0.05078686,0.03315635,0.00051037,0.00048331,0,0.10443537,0.04269978,0.23207203,5.13070933633136,0.57194782600759
256,2020,1506203,Salinópolis,PA,REGIÃO NORTE,0.11274925,0.00510544,0.00019703,0,0,0.00033411,0,0.11838583,0.909012312756407,0.0193153429864204
257,2020,1506302,Salvaterra,PA,REGIÃO NORTE,0.0417211,0.00852288,0.00058022,0,0,0.00751299,0.23463469,0.29297188,1.68865534938164,0.084419743795683
258,2020,1506351,Santa Bárbara do Pará,PA,REGIÃO NORTE,0.01265168,0.01684537,0.001697,2.949e-05,0,0.00164929,0,0.03287281,0.741508618896521,0.022602202702199
259,2020,1506401,Santa Cruz do Arari,PA,REGIÃO NORTE,0.01622326,0.00503426,0,0,0,0.02630249,0,0.04756001,1.35997959573472,0.0874716580684329
260,2020,1506500,Santa Izabel do Pará,PA,REGIÃO NORTE,0.11342328,0.02293424,0.00831819,0.00069568,0,0.04133041,0.07170276,0.25840457,1.10956092776218,0.0583195458001493
261,2020,1506559,Santa Luzia do Pará,PA,REGIÃO NORTE,0.02267137,0.0123552,0.00032243,0,0,0.04723953,0.05624957,0.13883811,2.72159554838178,0.110218303416186
262,2020,1506583,Santa Maria das Barreiras,PA,REGIÃO NORTE,0.02968544,0.01042597,2e-06,0.00019,0,0.3859573,0.0026888,0.42894951,5.73372887063606,0.84860426853371
263,2020,1506609,Santa Maria do Pará,PA,REGIÃO NORTE,0.03772591,0.01159213,0.00278608,0,0,0.01027082,0.04863995,0.1110149,0.835994097729561,0.0371963303146041
264,2020,1506708,Santana do Araguaia,PA,REGIÃO NORTE,0.05869146,0.04039921,0.02386787,0.00029486,0,0.34580794,0.00174324,0.47080457,5.3410268521548,0.954086675237413
265,2020,1506807,Santarém,PA,REGIÃO NORTE,0.57007531,0.08569869,0.02092351,0.00035187,0,0.0959756,0.11587704,0.88890202,7.68369862365903,1.45570755630247
266,2020,1506906,Santarém Novo,PA,REGIÃO NORTE,0.00566575,0.00525709,0,0,0,0.00276475,0.01183868,0.02552628,0.764021853850704,0.0186477026625747
267,2020,1507003,Santo Antônio do Tauá,PA,REGIÃO NORTE,0.05041637,0.01466775,0.00941111,0.0001515,0,0.04233277,0.09568664,0.21266614,1.30965636919846,0.043684803346046
268,2020,1507102,São Caetano de Odivelas,PA,REGIÃO NORTE,0.01789836,0.01234103,7.659e-05,0,0,0.00187628,0.117103,0.14929525,1.85084500274186,0.0604064208491912
269,2020,1507151,São Domingos do Araguaia,PA,REGIÃO NORTE,0.03447726,0.00718861,0.00092437,0,0,0.12991121,0.01128054,0.18378199,1.51655488221761,0.113664597093858
270,2020,1507201,São Domingos do Capim,PA,REGIÃO NORTE,0.02148245,0.02865844,0.00021766,0,0,0.02580398,0.19686237,0.27302491,2.07480631744952,0.136333043996853
271,2020,1507300,São Félix do Xingu,PA,REGIÃO NORTE,0.17520966,0.06331887,0.01295112,0.06144462,0,1.40847557,0.02494973,1.74634956,20.8511639130238,6.89676489452899
272,2020,1507409,São Francisco do Pará,PA,REGIÃO NORTE,0.01513721,0.01217554,0.00071641,0,0,0.01534833,0.06341665,0.10679415,1.06680702014263,0.0389683323926068
273,2020,1507458,São Geraldo do Araguaia,PA,REGIÃO NORTE,0.04872908,0.01031773,0.00120739,0.00095737,0,0.24887014,0,0.31008171,2.74540098548165,0.258872245950513
274,2020,1507466,São João da Ponta,PA,REGIÃO NORTE,0.00294643,0.00577151,0,0,0,0.0005546,0.06691249,0.07618503,0.823831519282065,0.0159182097556884
275,2020,1507474,São João de Pirabas,PA,REGIÃO NORTE,0.03701486,0.01322962,0.00112216,0,0,0.00227198,0.01234378,0.0659824,1.95516723386594,0.0573241185345274
276,2020,1507508,São João do Araguaia,PA,REGIÃO NORTE,0.00827201,0.01305536,0.00122275,8.726e-05,0,0.05797392,0.02192494,0.10253624,1.93249488839203,0.104438044721083
277,2020,1507607,São Miguel do Guamá,PA,REGIÃO NORTE,0.1128316,0.02409672,0.00330597,0.00043757,0,0.02712939,0.22998835,0.39778959,2.06273299987986,0.0902248667715225
278,2020,1507706,São Sebastião da Boa Vista,PA,REGIÃO NORTE,0.04458093,0.0165571,0,0,0,0.00135633,0,0.06249436,2.61953304108168,0.132644717345788
279,2020,1507755,Sapucaia,PA,REGIÃO NORTE,0.01015303,0.00236933,0.00116559,7.595e-05,0,0.09332915,0,0.10709307,1.62130467503125,0.106202535861363
280,2020,1507805,Senador José Porfírio,PA,REGIÃO NORTE,0.04643333,0.00550731,6.94e-06,0,0,0.05242415,0.01977506,0.12414679,8.62928407708989,1.17457270093379
281,2020,1507904,Soure,PA,REGIÃO NORTE,0.05589237,0.00185368,0,0,0,0.07332399,0,0.13107005,2.68162914870271,0.285766120067998
282,2020,1507953,Tailândia,PA,REGIÃO NORTE,0.13483026,0.03139849,0.07170367,0,0,0.0503811,0.32702294,0.61533646,2.98148554803451,0.360369747138079
283,2020,1507961,Terra Alta,PA,REGIÃO NORTE,0.01294694,0.00804953,1.794e-05,5.131e-05,0,0.00230787,0.02582246,0.04919605,0.605469705758338,0.0167717221835698
284,2020,1507979,Terra Santa,PA,REGIÃO NORTE,0.02518922,0.00854097,7.793e-05,0.08975509,0,0.02128745,0,0.14485066,2.4327699731974,0.15416129865629
285,2020,1508001,Tomé-Açu,PA,REGIÃO NORTE,0.13133592,0.03266823,0.04029291,0,0,0.06037155,2.14123406,2.40590268,3.65722689715677,0.418449696663192
286,2020,1508035,Tracuateua,PA,REGIÃO NORTE,0.02947218,0.02182825,0.0001079,0,0,0.00737331,0.01404556,0.0728272,2.08321965477245,0.0759136014462918
287,2020,1508050,Trairão,PA,REGIÃO NORTE,0.01653783,0.01038074,0.00061451,4.787e-05,0,0.07522557,0.00361803,0.10642455,7.14497129048383,0.977988250849447
288,2020,1508084,Tucumã,PA,REGIÃO NORTE,0.05296524,0.00720467,0.03358224,3.118e-05,0,0.20544214,0.16315117,0.46237663,2.36408546903684,0.205541660429263
289,2020,1508100,Tucuruí,PA,REGIÃO NORTE,0.28231695,0.00093523,0.00125953,1.44e-05,0,0.05049598,0.06158881,0.39661089,2.40334074873968,0.169857384134196
290,2020,1508126,Ulianópolis,PA,REGIÃO NORTE,0.16081156,0.02057048,0.23553638,0,0,0.03349025,0.74749545,1.19790413,3.74845404896152,0.414284274773914
291,2020,1508159,Uruará,PA,REGIÃO NORTE,0.07171539,0.02112584,0.00144684,2.641e-05,0,0.17827019,0.05935366,0.33193833,5.61085731141489,0.878389629799934
292,2020,1508209,Vigia,PA,REGIÃO NORTE,0.08984072,0.02032239,0.00167194,0.00077786,0,0.00634813,0.06194541,0.18090644,1.60427358445919,0.0438003228195214
293,2020,1508308,Viseu,PA,REGIÃO NORTE,0.03005242,0.04807504,5.738e-05,0.00147229,0,0.06176698,0.01879314,0.16021726,5.91407891147316,0.399445018121144
294,2020,1508357,Vitória do Xingu,PA,REGIÃO NORTE,0.01876257,0.00940039,0,2.099e-05,0,0.07302771,0.01715452,0.11836619,3.06376213263347,0.251364149355647
295,2020,1508407,Xinguara,PA,REGIÃO NORTE,0.0578739,0.00997037,0.06319564,1.458e-05,0,0.30380181,0.00151946,0.43637575,4.63335912176491,0.309230640504812
296,2020,1600055,Serra do Navio,AP,REGIÃO NORTE,0.02388477,0.00316231,2.34e-05,0,0,0.00051353,0,0.02758401,6.16862197528302,0.630381756985416
297,2020,1600105,Amapá,AP,REGIÃO NORTE,0.06632942,0.0011216,0.00013411,0,0,0.02361765,0,0.09120277,6.36546748920833,0.745816436351347
298,2020,1600154,Pedra Branca do Amapari,AP,REGIÃO NORTE,0.03350619,0.00982374,3.073e-05,0.14294879,0,0.0011,0,0.18740945,6.67338804390079,0.77159442109353
