OBJECTID,ANO,CDMUN,NMMUN,NMEST,NMREG,VZHURM3S,VZHRUM3S,VZINDM3S,VZMINM3S,VZTERM3S,VZANIM3S,VZIRRM3S,VZTOTM3S,SHAPE_Length,SHAPE_Area
186,1980,2103208,Chapadinha,MA,REGIÃO NORDESTE,0.0451501,0.04166088,0.00327792,0,0,0.03160749,3.933e-05,0.12173572,2.51713183267424,0.26587793536667
187,1980,2103307,Codó,MA,REGIÃO NORDESTE,0.14956316,0.08579234,0.00798245,0.00039024,0,0.05843038,0.01003537,0.31219394,3.38282212005848,0.404283696401994
188,1980,2103406,Coelho Neto,MA,REGIÃO NORDESTE,0.04750691,0.01494932,0.07880679,0,0,0.00567018,0.00604213,0.15297533,1.35183510361816,0.0792973170130044
189,1980,2103505,Colinas,MA,REGIÃO NORDESTE,0.0234344,0.02718075,0.00165128,0,0,0.01315993,0,0.06542636,2.0643975381899,0.159942814863597
190,1980,2103604,Coroatá,MA,REGIÃO NORDESTE,0.09186386,0.05594958,0.00607138,0,0,0.05233438,4.569e-05,0.2062649,2.43945391760915,0.229670802069883
191,1980,2103703,Cururupu,MA,REGIÃO NORDESTE,0.03277893,0.03211092,0.00969067,0.00014437,0,0.01049566,0.00035336,0.0855739,7.06341190181476,0.18214575158131
192,1980,2103802,Dom Pedro,MA,REGIÃO NORDESTE,0.03443214,0.01097504,0.00309415,0,0,0.00535229,0,0.05385362,1.60816331185789,0.0614341367084891
193,1980,2103901,Duque Bacelar,MA,REGIÃO NORDESTE,0.00675432,0.00731571,0.00014296,0,0,0.0068598,0.00261758,0.02369037,0.883387817292933,0.0249214136674365
194,1980,2104008,Esperantinópolis,MA,REGIÃO NORDESTE,0.02460822,0.04283196,0.00067401,0,0,0.02255332,0.00048191,0.09114942,1.98135142887627,0.112170764764775
195,1980,2104107,Fortaleza dos Nogueiras,MA,REGIÃO NORDESTE,0.00597329,0.00917383,0.00029483,0,0,0.01661873,0.00068549,0.03274617,2.65229963908933,0.200618632482685
196,1980,2104206,Fortuna,MA,REGIÃO NORDESTE,0.02148554,0.00773281,0.00043395,0,0,0.00342003,0.00034908,0.03342141,1.24939000119467,0.0563626465783387
197,1980,2104305,Godofredo Viana,MA,REGIÃO NORDESTE,0.00647709,0.01078132,0.00070325,0,0,0.00310365,0.00025761,0.02132293,3.65992067041131,0.189229841293367
